Moved over to Sprint Plan,You can have other columns as well,RELEASE,STORY_ID,STORY_TITLE,STORY,"PRIORITY (0 wont, 1 could, 2 should 3 must)",STORY_POINTS,ACCEPT,NOTES (optional assumption),,,,,
,,,0,Job Type Filter,"As a job seeker, I want to filter job listings by job type (e.g. casual, part-time, full-time, internship) so that I can quickly find opportunities that fit the kind of employment I'm seeking.",3,3,"Given a job seeker viewing job listings, when they select the 'Full-time' filter option and apply it, then the displayed job list should only contain postings marked as 'Full-time'.
Given a job seeker performing a job search, when they select both 'Part-time' and 'Internship' filter options and apply them, then the displayed job list should contain postings marked as either 'Part-time' or 'Internship'.
Given a job seeker who has applied a 'Casual' job type filter, when they deselect it or click 'Clear Filters', then the job list should refresh to include jobs of all types (respecting any other active filters).",,,,,,
,,,100,Job Location Filter,"As a job seeker, I want to filter job listings by location or remote/hybrid options so that I can focus on opportunities in places where I am able or willing to work.",3,3,"Given a job seeker viewing search results, when they enter 'Brisbane' into the location filter and apply it, then the displayed job list should only contain postings located in 'Brisbane' or explicitly including it.
Given a job seeker viewing search results, when they select the 'Remote' filter option and apply it, then the displayed job list should only contain postings marked as 'Remote'.
Given a job seeker viewing search results, when they select the 'Hybrid' filter option and apply it, then the displayed job list should only contain postings marked as 'Hybrid'.
Given a job seeker viewing search results, when they enter 'Sydney' into the location filter, select the 'Hybrid' filter option, and apply the filters, then the displayed job list should only contain postings marked as 'Hybrid' and associated with 'Sydney'.",,,,,,
,,,200,Experience Level Filter,"As a job seeker, I want to filter job postings by required experience level (entry-level, mid-level, senior) so that I can target positions that match my current career stage.",3,3,"Given a job seeker viewing search results, when they select the 'Entry-Level' experience filter and apply it, then the displayed job list should only contain postings marked as 'Entry-Level'.
Given a job seeker viewing search results, when they select both 'Mid-Level' and 'Senior' experience filters and apply them, then the displayed job list should contain postings marked as either 'Mid-Level' or 'Senior'.
Given a job seeker who has applied an 'Entry-Level' experience filter, when they deselect it or click 'Clear Filters', then the job list should refresh to include jobs of all experience levels (respecting any other active filters).",,,,,,
,,,300,Keyword Job Search,"As a job seeker, I want to search for job listings using specific keywords (e.g., 'software engineer', 'product manager', 'computer scientist') so that I can quickly find roles matching terms relevant to my skills or interests.",3,5,"Given a job seeker on the job search page, when they enter the keyword 'python' and click the 'Search' button, then they should see job postings containing 'python' in their title, description, or required skills.
Given a job seeker on the job search page, when they enter the keywords 'project manager agile' and click the 'Search' button, then they should see job postings relevant to both 'project manager' and 'agile'.
Given a job seeker on the job search page, when they enter a very obscure keyword and click the 'Search' button, then they should see a message indicating no matching jobs were found and possibly suggestions for alternative searches.",,,,,,
,,,400,Salary Range Filter,"As a job seeker, I want to filter jobs by salary range so that I can focus on opportunities matching my compensation expectations.",3,3,"Given a job seeker viewing search results, when they set the minimum salary filter and apply it, then the displayed job list should only contain postings with a salary range that meets or overlaps with this threshold.
Given a job seeker viewing search results, when they set the salary filter range and apply it, then the displayed job list should only contain postings with salary ranges within this range.
Given a job seeker viewing search results, when they apply a salary filter with 'Include jobs without salary information' ticked, then the displayed list should include both matching salary jobs and jobs with no salary specified.
Given a job seeker viewing search results, when they apply a salary filter with 'Include jobs without salary information' unticked, then the displayed list should only include jobs matching the salary criteria that have salary information specified.",,,,,,
,, ,500,Job Seeker Notification,"As a job seeker, I want to receive timely notifications (e.g., via email, SMS, or in-app notification, with user-configurable frequency) for new job postings that match my profile (such as my work history, skills, and education) so that I don’t miss out on relevant opportunities.",3,8,"Given a job seeker with job preferences set and daily email notifications enabled When a new matching job is posted and the notification cycle runs Then the job seeker should receive an email with details of the new matching job(s)
Given a job seeker in notification settings When the job seeker disables email notifications And enables in-app notifications And saves the settings Then the job seeker should receive in-app notifications instead of emails for new jobs
Given a job seeker who changes notification frequency from 'Daily' to 'Instantly' When a new matching job is posted Then the job seeker should receive a notification almost immediately after the job is posted
Given a job seeker who has disabled all notifications When a matching job is posted and notification dispatch time arrives Then the job seeker should not receive any notification about this job",,,,,,
,,,600,Job Application Tracker,"As a job seeker, I want to track the status of each job application (e.g. applied, under review, interview scheduled, rejected, offer received, offer accepted, offer declined) with appropriate actions available at each stage, so that I know where I stand in each hiring process and can take timely next steps.",3,13,"Given a job seeker who has applied for several jobs When the job seeker navigates to the 'Application Tracker' section Then the job seeker should see a list of all jobs they've applied for with organisation name, job title, date applied, and current status
Given a job seeker viewing their 'Application Tracker' When an application status changes to 'Under Review' Then the status displayed for that specific application should update accordingly
Given a job seeker with an application status of 'Interview Scheduled' When the job seeker views the details for this application Then the job seeker should see options like 'Add Interview Details' or 'View Employer Message'
Given a job seeker with an application status of 'Offer Received' When the job seeker views the details for this application Then the job seeker should see options to 'Accept Offer' or 'Decline Offer'
Given a job seeker viewing an application with status 'Applied' or 'Under Review' When the job seeker selects 'Withdraw Application' And confirms the action Then the application status should update to 'Withdrawn' And a notification might be sent to the employer",,,,,,
,,,700,Profile Creation & Management,"As a job seeker, I want to create and maintain a comprehensive profile including work history, education, skills, and preferences so that I can present myself effectively to employers.",3,13,"Given a job seeker on the platform When the job seeker navigates to the profile creation section And fills in all required fields And clicks the 'Save Profile' button Then their profile should be created successfully and viewable with all entered information
Given a job seeker with an existing profile When the job seeker navigates to the 'Work History' section And enters details for a new job And clicks 'Save' Then the new work history entry should be added to their profile and visible when viewed
Given a job seeker with an existing profile When the job seeker navigates to the 'Skills' section And adds a new skill And removes an existing skill And clicks 'Save Changes' Then their skills list should be updated accordingly on their profile
Given a job seeker with an existing profile When the job seeker navigates to the 'Preferences' section And sets their preferred job type, location, and salary range And clicks 'Save Preferences' Then these preferences should be saved to their profile And potentially influence job recommendations",,,,,,
,,,800,Quick Apply,"As a job seeker, I want a one-click application option for compatible jobs so that I can efficiently apply to multiple positions.",3,8,"Given a job seeker logged in and viewing a 'Quick Apply' compatible job posting with a complete profile When the job seeker clicks the 'Quick Apply' button Then their application should be submitted And they should receive a confirmation message And the job should appear in their 'Application Tracker' as 'Applied'
Given a job seeker viewing a job posting requiring a custom application process When the job seeker looks for application options Then the 'Quick Apply' button should not be visible or should be disabled And a standard 'Apply' or 'Apply on Organisation Site' button should be present
Given a job seeker logged in and viewing a 'Quick Apply' compatible job posting with incomplete profile information When the job seeker clicks the 'Quick Apply' button Then they should be prompted to complete missing information before the application can be submitted",,,,,,
,,,900,Candidate-Employer Messaging,"As a job seeker, I want a secure messaging system to communicate with potential employers so that I can clarify details before and during the application process.",3,13,"Given a job seeker who has applied for a job with messaging enabled When the job seeker navigates to the application And finds the messaging option And composes and sends a message Then it should be sent securely to the employer And appear in their message history
Given a job seeker who has received a message from an employer When the job seeker logs in to the platform Then they should see a notification for the new message And be able to read it in the 'Messages' section
Given a job seeker who has received an employer message When the job seeker views the message And types a reply And clicks 'Send' Then their reply should be sent securely And appear in the conversation thread
Given a job seeker viewing a job posting before applying where pre-application messaging is not allowed When the job seeker looks for employer messaging options Then they should not find a way to initiate a message unless the employer enabled a 'Contact Recruiter' option",,,,,,
